EDA,Resp,PPG Finger,PPG Ear,arduino_ts,event_code
2480.0,4054.0,1814.0,2013.0,4354392.0,
2481.0,4052.0,1812.0,2015.0,4354396.0,
2481.0,4050.0,1811.0,2014.0,4354400.0,
2480.0,4051.0,1808.0,2018.0,4354404.0,
2477.0,4051.0,1805.0,2018.0,4354407.0,
2479.0,4052.0,1801.0,2022.0,4354411.0,
2480.0,4052.0,1799.0,2023.0,4354415.0,
2482.0,4051.0,1797.0,2027.0,4354419.0,
2475.0,4053.0,1796.0,2031.0,4354423.0,
2477.0,4050.0,1796.0,2032.0,4354427.0,
2477.0,4051.0,1795.0,2037.0,4354430.0,
2480.0,4051.0,1795.0,2039.0,4354434.0,
2482.0,4051.0,1797.0,2043.0,4354438.0,
2480.0,4051.0,1800.0,2047.0,4354442.0,
2477.0,4051.0,1805.0,2050.0,4354447.0,
2479.0,4052.0,1812.0,2052.0,4354451.0,
2481.0,4052.0,1821.0,2058.0,4354454.0,
2482.0,4050.0,1832.0,2058.0,4354458.0,
2480.0,4052.0,1843.0,2063.0,4354462.0,
2479.0,4051.0,1858.0,2066.0,4354466.0,
2478.0,4053.0,1875.0,2072.0,4354470.0,
2480.0,4051.0,1894.0,2074.0,4354474.0,
2482.0,4051.0,1914.0,2077.0,4354477.0,
2480.0,4051.0,1939.0,2077.0,4354481.0,
2478.0,4052.0,1957.0,2082.0,4354485.0,
2479.0,4051.0,1981.0,2082.0,4354489.0,
2480.0,4051.0,2005.0,2087.0,4354493.0,
2481.0,4051.0,2030.0,2088.0,4354496.0,
2481.0,4052.0,2054.0,2090.0,4354500.0,
2479.0,4051.0,2078.0,2093.0,4354504.0,
2478.0,4050.0,2105.0,2090.0,4354508.0,
2478.0,4052.0,2132.0,2095.0,4354512.0,
2481.0,4051.0,2156.0,2092.0,4354516.0,
2481.0,4052.0,2179.0,2095.0,4354519.0,
2479.0,4052.0,2201.0,2095.0,4354523.0,
2478.0,4052.0,2220.0,2096.0,4354527.0,
2479.0,4050.0,2240.0,2095.0,4354531.0,
2480.0,4053.0,2257.0,2093.0,4354535.0,
2481.0,4051.0,2273.0,2094.0,4354538.0,
2482.0,4051.0,2285.0,2097.0,4354542.0,
2479.0,4051.0,2298.0,2096.0,4354546.0,
2479.0,4052.0,2304.0,2095.0,4354550.0,
2481.0,4051.0,2320.0,2094.0,4354554.0,
2483.0,4053.0,2325.0,2091.0,4354558.0,
2481.0,4051.0,2337.0,2093.0,4354561.0,
2479.0,4050.0,2339.0,2091.0,4354565.0,
2478.0,4052.0,2346.0,2093.0,4354569.0,
2479.0,4050.0,2347.0,2093.0,4354573.0,
2482.0,4052.0,2348.0,2093.0,4354577.0,
2481.0,4052.0,2347.0,2091.0,4354581.0,
2478.0,4052.0,2342.0,2093.0,4354584.0,
2478.0,4052.0,2340.0,2090.0,4354588.0,
2479.0,4052.0,2333.0,2091.0,4354592.0,
2481.0,4051.0,2327.0,2090.0,4354596.0,
2481.0,4052.0,2316.0,2090.0,4354600.0,
2479.0,4052.0,2305.0,2088.0,4354603.0,
2478.0,4052.0,2291.0,2089.0,4354607.0,
2478.0,4051.0,2278.0,2088.0,4354611.0,
2481.0,4052.0,2262.0,2086.0,4354615.0,
2482.0,4051.0,2246.0,2086.0,4354619.0,
2481.0,4052.0,2231.0,2085.0,4354622.0,
2477.0,4051.0,2215.0,2082.0,4354626.0,
2478.0,4052.0,2199.0,2081.0,4354630.0,
2481.0,4052.0,2181.0,2081.0,4354634.0,
2482.0,4050.0,2168.0,2079.0,4354638.0,
2481.0,4053.0,2152.0,2077.0,4354641.0,
2479.0,4051.0,2141.0,2074.0,4354645.0,
2477.0,4052.0,2123.0,2072.0,4354649.0,
2479.0,4050.0,2112.0,2074.0,4354653.0,
