EDA,Resp,PPG Finger,PPG Ear,arduino_ts,event_code
1582.0,4036.0,1705.0,2041.0,10936653.0,
1580.0,4033.0,1682.0,2035.0,10936657.0,
1580.0,4036.0,1654.0,2032.0,10936660.0,
1580.0,4034.0,1631.0,2030.0,10936664.0,
1580.0,4035.0,1601.0,2033.0,10936668.0,
1581.0,4036.0,1574.0,2033.0,10936672.0,
1579.0,4033.0,1546.0,2033.0,10936676.0,
1578.0,4035.0,1514.0,2028.0,10936680.0,
1579.0,4034.0,1485.0,2028.0,10936684.0,
1579.0,4037.0,1453.0,2025.0,10936687.0,
1580.0,4036.0,1422.0,2024.0,10936691.0,
1579.0,4033.0,1393.0,2023.0,10936695.0,
1577.0,4033.0,1364.0,2022.0,10936700.0,
1578.0,4036.0,1333.0,2019.0,10936703.0,
1580.0,4034.0,1307.0,2015.0,10936707.0,
1580.0,4035.0,1277.0,2011.0,10936711.0,
1579.0,4035.0,1251.0,2010.0,10936715.0,
1578.0,4033.0,1224.0,2008.0,10936719.0,
1578.0,4035.0,1201.0,2008.0,10936723.0,
1578.0,4036.0,1178.0,2002.0,10936727.0,
1581.0,4034.0,1159.0,2002.0,10936731.0,
1578.0,4034.0,1142.0,2000.0,10936734.0,
1577.0,4036.0,1125.0,1998.0,10936738.0,
1577.0,4036.0,1108.0,1996.0,10936742.0,
1576.0,4033.0,1093.0,1992.0,10936746.0,
1576.0,4037.0,1082.0,1991.0,10936750.0,
1575.0,4035.0,1070.0,1989.0,10936754.0,
1572.0,4036.0,1059.0,1986.0,10936758.0,
1571.0,4034.0,1054.0,1983.0,10936763.0,
1573.0,4035.0,1046.0,1983.0,10936767.0,
1572.0,4034.0,1048.0,1978.0,10936770.0,
1571.0,4035.0,1047.0,1977.0,10936774.0,
1569.0,4034.0,1050.0,1974.0,10936778.0,
1567.0,4035.0,1054.0,1976.0,10936782.0,
1569.0,4032.0,1060.0,1973.0,10936786.0,
1570.0,4036.0,1070.0,1974.0,10936790.0,
1569.0,4034.0,1074.0,1969.0,10936794.0,
1567.0,4036.0,1082.0,1969.0,10936798.0,
1566.0,4034.0,1095.0,1963.0,10936801.0,
1567.0,4036.0,1107.0,1964.0,10936805.0,
1568.0,4035.0,1115.0,1961.0,10936809.0,
1568.0,4033.0,1127.0,1959.0,10936813.0,
1568.0,4035.0,1143.0,1959.0,10936817.0,
1567.0,4033.0,1157.0,1956.0,10936821.0,
1568.0,4032.0,1170.0,1955.0,10936825.0,
1570.0,4036.0,1181.0,1952.0,10936829.0,
1570.0,4033.0,1193.0,1948.0,10936833.0,
1569.0,4034.0,1205.0,1951.0,10936837.0,
1569.0,4034.0,1215.0,1948.0,10936841.0,
1570.0,4034.0,1225.0,1945.0,10936845.0,
1572.0,4034.0,1233.0,1946.0,10936848.0,
1572.0,4035.0,1243.0,1943.0,10936852.0,
1573.0,4036.0,1252.0,1944.0,10936856.0,
1572.0,4037.0,1257.0,1940.0,10936860.0,
1573.0,4036.0,1265.0,1940.0,10936864.0,
1575.0,4037.0,1268.0,1939.0,10936868.0,
1576.0,4034.0,1274.0,1942.0,10936872.0,
1577.0,4035.0,1280.0,1941.0,10936876.0,
1577.0,4036.0,1284.0,1944.0,10936880.0,
1580.0,4035.0,1289.0,1943.0,10936884.0,
1581.0,4035.0,1292.0,1949.0,10936888.0,
1582.0,4033.0,1293.0,1946.0,10936892.0,
1583.0,4037.0,1293.0,1954.0,10936896.0,
1584.0,4033.0,1292.0,1955.0,10936900.0,
1585.0,4037.0,1291.0,1960.0,10936904.0,
1589.0,4034.0,1292.0,1959.0,10936908.0,
1592.0,4035.0,1290.0,1965.0,10936911.0,
1593.0,4036.0,1286.0,1967.0,10936915.0,
1592.0,4035.0,1285.0,1969.0,10936919.0,
1594.0,4036.0,1284.0,1975.0,10936923.0,
1596.0,4034.0,1283.0,1979.0,10936927.0,
1597.0,4036.0,1282.0,1989.0,10936931.0,
1598.0,4035.0,1282.0,1991.0,10936935.0,
1596.0,4036.0,1282.0,2000.0,10936938.0,
1595.0,4036.0,1282.0,2005.0,10936942.0,
1595.0,4034.0,1284.0,2012.0,10936946.0,
1595.0,4038.0,1284.0,2019.0,10936950.0,
1594.0,4036.0,1292.0,2028.0,10936954.0,
1593.0,4034.0,1296.0,2034.0,10936959.0,
1592.0,4037.0,1307.0,2040.0,10936962.0,
1593.0,4034.0,1319.0,2048.0,10936966.0,
1593.0,4035.0,1336.0,2058.0,10936970.0,
1591.0,4034.0,1359.0,2069.0,10936974.0,
1590.0,4033.0,1388.0,2077.0,10936978.0,
1589.0,4036.0,1424.0,2088.0,10936982.0,
1591.0,4033.0,1467.0,2098.0,10936986.0,
1591.0,4035.0,1521.0,2107.0,10936990.0,
1590.0,4034.0,1584.0,2116.0,10936994.0,
1589.0,4035.0,1649.0,2125.0,10936997.0,
1589.0,4037.0,1727.0,2133.0,10937001.0,
1589.0,4036.0,1814.0,2137.0,10937005.0,
1590.0,4036.0,1914.0,2145.0,10937009.0,
1590.0,4036.0,2029.0,2147.0,10937013.0,
1589.0,4033.0,2156.0,2152.0,10937018.0,
1588.0,4033.0,2287.0,2158.0,10937022.0,
1589.0,4033.0,2415.0,2158.0,10937026.0,
1590.0,4033.0,2542.0,2159.0,10937030.0,
1589.0,4032.0,2673.0,2159.0,10937034.0,
1588.0,4034.0,2804.0,2156.0,10937037.0,
1587.0,4034.0,2930.0,2155.0,10937041.0,
1588.0,4035.0,3059.0,2155.0,10937045.0,
1588.0,4034.0,3182.0,2148.0,10937049.0,
1588.0,4034.0,3299.0,2144.0,10937053.0,
1587.0,4032.0,3413.0,2145.0,10937057.0,
1586.0,4032.0,3519.0,2138.0,10937061.0,
1586.0,4033.0,3611.0,2135.0,10937064.0,
1587.0,4035.0,3698.0,2131.0,10937068.0,
1589.0,4035.0,3775.0,2129.0,10937072.0,
1586.0,4036.0,3839.0,2124.0,10937076.0,
1585.0,4036.0,3889.0,2122.0,10937080.0,
1585.0,4037.0,3913.0,2120.0,10937084.0,
1587.0,4035.0,3915.0,2118.0,10937088.0,
1587.0,4033.0,3914.0,2112.0,10937091.0,
1586.0,4035.0,3916.0,2111.0,10937095.0,
1585.0,4034.0,3919.0,2106.0,10937099.0,
1584.0,4034.0,3916.0,2108.0,10937103.0,
1587.0,4036.0,3916.0,2105.0,10937107.0,
1586.0,4035.0,3915.0,2105.0,10937111.0,
1585.0,4034.0,3888.0,2106.0,10937115.0,
1584.0,4036.0,3837.0,2104.0,10937119.0,
1584.0,4036.0,3782.0,2104.0,10937123.0,
1586.0,4035.0,3723.0,2104.0,10937127.0,
1587.0,4036.0,3658.0,2103.0,10937131.0,
1585.0,4035.0,3586.0,2102.0,10937135.0,
1584.0,4037.0,3511.0,2101.0,10937139.0,
1584.0,4035.0,3435.0,2096.0,10937143.0,
1586.0,4036.0,3354.0,2096.0,10937146.0,
1585.0,4033.0,3273.0,2092.0,10937150.0,
1586.0,4037.0,3192.0,2092.0,10937154.0,
1584.0,4034.0,3104.0,2087.0,10937158.0,
1584.0,4032.0,3017.0,2086.0,10937162.0,
1585.0,4035.0,2927.0,2081.0,10937166.0,
1586.0,4034.0,2838.0,2077.0,10937170.0,
1585.0,4034.0,2746.0,2074.0,10937174.0,
1583.0,4033.0,2661.0,2070.0,10937178.0,
1584.0,4034.0,2576.0,2065.0,10937181.0,
1585.0,4034.0,2493.0,2065.0,10937185.0,
1585.0,4036.0,2408.0,2062.0,10937189.0,
1585.0,4035.0,2324.0,2058.0,10937193.0,
1583.0,4036.0,2244.0,2055.0,10937197.0,
1583.0,4035.0,2162.0,2052.0,10937201.0,
1585.0,4034.0,2084.0,2047.0,10937205.0,
1585.0,4037.0,2007.0,2047.0,10937209.0,
1585.0,4033.0,1942.0,2040.0,10937213.0,
1584.0,4036.0,1877.0,2039.0,10937217.0,
1583.0,4034.0,1818.0,2030.0,10937221.0,
1584.0,4033.0,1758.0,2031.0,10937224.0,
1585.0,4037.0,1709.0,2031.0,10937228.0,
1585.0,4034.0,1664.0,2029.0,10937232.0,
1584.0,4036.0,1623.0,2031.0,10937236.0,
1583.0,4036.0,1589.0,2028.0,10937240.0,
1583.0,4034.0,1559.0,2022.0,10937244.0,
1584.0,4035.0,1535.0,2021.0,10937248.0,
1584.0,4032.0,1514.0,2021.0,10937252.0,
1584.0,4035.0,1501.0,2019.0,10937256.0,
1583.0,4033.0,1490.0,2015.0,10937260.0,
1583.0,4035.0,1484.0,2019.0,10937264.0,
1584.0,4033.0,1483.0,2016.0,10937267.0,
1585.0,4034.0,1485.0,2015.0,10937271.0,
1585.0,4035.0,1493.0,2014.0,10937275.0,
1583.0,4036.0,1501.0,2018.0,10937279.0,
1583.0,4036.0,1511.0,2022.0,10937283.0,
1584.0,4033.0,1523.0,2019.0,10937287.0,
1585.0,4038.0,1539.0,2021.0,10937291.0,
1584.0,4033.0,1552.0,2021.0,10937295.0,
1583.0,4036.0,1573.0,2022.0,10937298.0,
1583.0,4034.0,1589.0,2023.0,10937302.0,
1584.0,4034.0,1607.0,2023.0,10937306.0,
1584.0,4035.0,1625.0,2028.0,10937310.0,
1584.0,4034.0,1644.0,2031.0,10937314.0,
1584.0,4035.0,1659.0,2033.0,10937318.0,
1584.0,4033.0,1681.0,2031.0,10937322.0,
1586.0,4034.0,1694.0,2033.0,10937326.0,
1585.0,4035.0,1710.0,2032.0,10937330.0,
1584.0,4034.0,1718.0,2035.0,10937334.0,
1583.0,4033.0,1730.0,2032.0,10937339.0,
1583.0,4038.0,1737.0,2037.0,10937343.0,
1584.0,4079.0,1744.0,2034.0,10937346.0,
1585.0,4034.0,1748.0,2031.0,10937350.0,
1585.0,4035.0,1751.0,2029.0,10937354.0,
1583.0,4036.0,1749.0,2028.0,10937358.0,
1583.0,4036.0,1751.0,2025.0,10937362.0,
1584.0,4032.0,1746.0,2027.0,10937366.0,
1584.0,4036.0,1738.0,2023.0,10937370.0,
1584.0,4033.0,1730.0,2020.0,10937374.0,
1582.0,4037.0,1717.0,2020.0,10937378.0,
1583.0,4035.0,1702.0,2018.0,10937382.0,
1584.0,4033.0,1686.0,2018.0,10937386.0,
1585.0,4037.0,1670.0,2015.0,10937390.0,
1584.0,4035.0,1649.0,2012.0,10937394.0,
1584.0,4036.0,1632.0,2013.0,10937398.0,
1583.0,4034.0,1614.0,2013.0,10937401.0,
1585.0,4033.0,1595.0,2014.0,10937405.0,
1586.0,4031.0,1571.0,2011.0,10937409.0,
1586.0,4036.0,1549.0,2008.0,10937413.0,
1583.0,4033.0,1527.0,2008.0,10937417.0,
1583.0,4037.0,1501.0,2007.0,10937421.0,
1583.0,4079.0,1482.0,2005.0,10937424.0,
1585.0,4036.0,1458.0,2006.0,10937428.0,
1584.0,4035.0,1438.0,2005.0,10937432.0,
1584.0,4036.0,1414.0,2005.0,10937436.0,
1583.0,4034.0,1391.0,2004.0,10937440.0,
1584.0,4032.0,1368.0,2005.0,10937444.0,
1584.0,4035.0,1347.0,2006.0,10937448.0,
1585.0,4036.0,1329.0,2004.0,10937452.0,
1584.0,4034.0,1310.0,2004.0,10937456.0,
1583.0,4034.0,1293.0,2004.0,10937460.0,
1584.0,4034.0,1278.0,2000.0,10937464.0,
1585.0,4036.0,1261.0,2001.0,10937468.0,
1585.0,4033.0,1247.0,2000.0,10937472.0,
1585.0,4036.0,1230.0,1998.0,10937475.0,
1583.0,4035.0,1215.0,1998.0,10937479.0,
1584.0,4035.0,1203.0,1995.0,10937483.0,
1585.0,4036.0,1190.0,1991.0,10937487.0,
1584.0,4034.0,1179.0,1988.0,10937491.0,
1585.0,4032.0,1168.0,1986.0,10937495.0,
1583.0,4034.0,1156.0,1980.0,10937499.0,
1584.0,4032.0,1143.0,1977.0,10937503.0,
1585.0,4034.0,1132.0,1979.0,10937507.0,
1585.0,4033.0,1120.0,1975.0,10937511.0,
1585.0,4036.0,1109.0,1977.0,10937516.0,
1584.0,4033.0,1102.0,1975.0,10937520.0,
1584.0,4034.0,1093.0,1974.0,10937524.0,
1586.0,4036.0,1086.0,1976.0,10937528.0,
1586.0,4034.0,1086.0,1977.0,10937532.0,
1584.0,4035.0,1084.0,1978.0,10937536.0,
1584.0,4034.0,1083.0,1979.0,10937540.0,
1584.0,4034.0,1082.0,1984.0,10937544.0,
1586.0,4033.0,1083.0,1986.0,10937548.0,
1586.0,4036.0,1084.0,1989.0,10937552.0,
1585.0,4033.0,1086.0,1989.0,10937555.0,
1584.0,4036.0,1093.0,1995.0,10937559.0,
1584.0,4037.0,1094.0,1998.0,10937563.0,
1585.0,4033.0,1102.0,2002.0,10937567.0,
1586.0,4035.0,1107.0,2000.0,10937571.0,
1585.0,4034.0,1116.0,2002.0,10937575.0,
1584.0,4036.0,1124.0,2003.0,10937579.0,
1584.0,4033.0,1128.0,2002.0,10937582.0,
1585.0,4032.0,1139.0,2002.0,10937586.0,
1586.0,4035.0,1150.0,2005.0,10937590.0,
1585.0,4039.0,1160.0,2005.0,10937594.0,
