EDA,Resp,PPG Finger,PPG Ear,event_code
2350,981,538,1928,
2349,981,534,1928,
2348,981,526,1928,
2349,980,521,1930,
2349,979,513,1930,
2348,980,507,1932,
2348,979,497,1935,
2348,979,485,1943,
2350,980,476,1945,
2349,980,467,1959,
2349,980,455,1969,
2349,979,443,1978,
2349,981,432,1995,
2350,979,422,2015,
2349,979,411,2035,
2349,980,402,2058,
2350,980,391,2086,
2350,981,385,2111,
2350,981,384,2138,
2349,981,383,2164,
2349,979,391,2195,
2349,979,401,2225,
2350,980,423,2255,
2350,981,454,2286,
2349,978,498,2314,
2349,980,558,2339,
2349,979,629,2361,
2348,979,721,2389,
2351,979,832,2404,
2349,980,967,2425,
2350,980,1121,2441,
2350,979,1296,2453,
2351,979,1495,2467,
2350,980,1719,2475,
2351,980,1958,2481,
2350,980,2221,2485,
2350,980,2501,2487,
2350,979,2795,2490,
2349,980,3098,2488,
2349,980,3408,2485,
2350,980,3724,2480,
2350,981,3918,2475,
2350,979,3917,2469,
2350,980,3918,2462,
2350,981,3918,2455,
2349,979,3917,2442,
2351,980,3918,2435,
2350,980,3918,2418,
2349,980,3916,2406,
2349,980,3918,2394,
2351,980,3918,2377,
2350,981,3919,2359,
2350,981,3920,2346,
2350,981,3919,2327,
2350,981,3919,2309,
2351,981,3920,2296,
2350,982,3919,2275,
2350,981,3919,2258,
2349,981,3919,2242,
2350,982,3919,2222,
2349,981,3919,2201,
2350,982,3919,2180,
2348,979,3917,2157,
2349,981,3918,2134,
2350,981,3919,2114,
2349,981,3919,2091,
2350,981,3918,2070,
2349,981,3919,2055,
2350,981,3918,2036,
2350,981,3918,2018,
2349,980,3916,2003,
2350,981,3920,1992,
2349,980,3919,1982,
2350,982,3920,1972,
2349,981,3919,1965,
2351,982,3919,1960,
2350,981,3919,1954,
2350,981,3918,1946,
2350,982,3919,1943,
2349,981,3920,1938,
2349,982,3920,1934,
2349,982,3919,1931,
2349,981,3917,1932,
2350,983,3920,1929,
2350,982,3919,1930,
2350,981,3917,1929,
2350,981,3918,1931,
2349,982,3919,1933,
2349,981,3917,1933,
