EDA,Resp,PPG Finger,PPG Ear,arduino_ts,event_code
809.0,4010.0,1245.0,1967.0,11458630.0,
809.0,4013.0,1218.0,1977.0,11458634.0,
808.0,4010.0,1194.0,1986.0,11458637.0,
808.0,4012.0,1179.0,1997.0,11458641.0,
807.0,4014.0,1173.0,2005.0,11458645.0,
807.0,4013.0,1168.0,2024.0,11458650.0,
808.0,4013.0,1179.0,2037.0,11458654.0,
807.0,4011.0,1198.0,2048.0,11458658.0,
807.0,4012.0,1221.0,2063.0,11458662.0,
805.0,4011.0,1262.0,2072.0,11458666.0,
806.0,4013.0,1308.0,2085.0,11458670.0,
806.0,4013.0,1372.0,2097.0,11458674.0,
806.0,4015.0,1444.0,2108.0,11458677.0,
806.0,4010.0,1522.0,2118.0,11458681.0,
804.0,4014.0,1605.0,2130.0,11458685.0,
804.0,4011.0,1701.0,2141.0,11458689.0,
805.0,4010.0,1809.0,2147.0,11458693.0,
806.0,4012.0,1940.0,2155.0,11458697.0,
805.0,4011.0,2083.0,2161.0,11458701.0,
804.0,4010.0,2246.0,2168.0,11458705.0,
804.0,4012.0,2410.0,2173.0,11458709.0,
805.0,4011.0,2567.0,2178.0,11458712.0,
805.0,4014.0,2720.0,2181.0,11458716.0,
804.0,4009.0,2879.0,2182.0,11458720.0,
803.0,4013.0,3036.0,2183.0,11458724.0,
803.0,4014.0,3195.0,2181.0,11458728.0,
803.0,4013.0,3348.0,2179.0,11458732.0,
803.0,4014.0,3500.0,2178.0,11458736.0,
803.0,4013.0,3632.0,2175.0,11458739.0,
802.0,4011.0,3758.0,2175.0,11458743.0,
801.0,4014.0,3867.0,2171.0,11458747.0,
802.0,4014.0,3913.0,2173.0,11458751.0,
802.0,4014.0,3913.0,2170.0,11458755.0,
802.0,4014.0,3913.0,2166.0,11458759.0,
801.0,4014.0,3914.0,2162.0,11458763.0,
801.0,4013.0,3914.0,2161.0,11458767.0,
802.0,4010.0,3912.0,2160.0,11458770.0,
802.0,4013.0,3913.0,2158.0,11458774.0,
801.0,4012.0,3913.0,2153.0,11458778.0,
802.0,4010.0,3914.0,2151.0,11458782.0,
800.0,4009.0,3914.0,2148.0,11458786.0,
799.0,4011.0,3914.0,2144.0,11458790.0,
801.0,4013.0,3915.0,2142.0,11458794.0,
801.0,4013.0,3915.0,2138.0,11458797.0,
800.0,4011.0,3914.0,2133.0,11458801.0,
799.0,4012.0,3913.0,2132.0,11458805.0,
800.0,4012.0,3914.0,2128.0,11458809.0,
800.0,4011.0,3914.0,2127.0,11458813.0,
800.0,4010.0,3913.0,2125.0,11458817.0,
799.0,4010.0,3914.0,2123.0,11458821.0,
799.0,4013.0,3914.0,2125.0,11458824.0,
798.0,4014.0,3915.0,2121.0,11458828.0,
799.0,4011.0,3914.0,2118.0,11458832.0,
799.0,4013.0,3914.0,2117.0,11458836.0,
799.0,4010.0,3914.0,2114.0,11458840.0,
798.0,4012.0,3914.0,2111.0,11458844.0,
798.0,4012.0,3914.0,2107.0,11458848.0,
798.0,4013.0,3914.0,2108.0,11458852.0,
798.0,4012.0,3915.0,2102.0,11458855.0,
798.0,4010.0,3914.0,2099.0,11458859.0,
798.0,4011.0,3914.0,2094.0,11458863.0,
797.0,4011.0,3914.0,2086.0,11458867.0,
798.0,4013.0,3914.0,2085.0,11458871.0,
798.0,4009.0,3833.0,2079.0,11458875.0,
798.0,4013.0,3748.0,2077.0,11458879.0,
797.0,4010.0,3639.0,2074.0,11458884.0,
797.0,4013.0,3545.0,2068.0,11458887.0,
799.0,4012.0,3449.0,2069.0,11458892.0,
798.0,4010.0,3357.0,2070.0,11458895.0,
798.0,4014.0,3260.0,2070.0,11458900.0,
798.0,4012.0,3172.0,2067.0,11458903.0,
797.0,4014.0,3046.0,2068.0,11458909.0,
797.0,4014.0,2961.0,2069.0,11458913.0,
797.0,4010.0,2884.0,2062.0,11458917.0,
798.0,4012.0,2807.0,2066.0,11458921.0,
797.0,4009.0,2738.0,2065.0,11458925.0,
796.0,4014.0,2673.0,2067.0,11458928.0,
797.0,4011.0,2613.0,2064.0,11458932.0,
798.0,4014.0,2554.0,2062.0,11458936.0,
796.0,4011.0,2509.0,2062.0,11458940.0,
796.0,4013.0,2466.0,2062.0,11458944.0,
797.0,4011.0,2429.0,2062.0,11458948.0,
796.0,4011.0,2400.0,2061.0,11458952.0,
798.0,4011.0,2374.0,2061.0,11458956.0,
798.0,4013.0,2354.0,2061.0,11458960.0,
796.0,4009.0,2341.0,2055.0,11458963.0,
796.0,4015.0,2330.0,2053.0,11458967.0,
796.0,4013.0,2325.0,2053.0,11458971.0,
797.0,4012.0,2323.0,2049.0,11458975.0,
797.0,4011.0,2326.0,2043.0,11458979.0,
796.0,4014.0,2328.0,2043.0,11458983.0,
795.0,4010.0,2334.0,2037.0,11458987.0,
797.0,4012.0,2340.0,2034.0,11458990.0,
798.0,4012.0,2349.0,2033.0,11458994.0,
797.0,4014.0,2363.0,2028.0,11458998.0,
796.0,4014.0,2371.0,2031.0,11459002.0,
796.0,4010.0,2384.0,2024.0,11459006.0,
796.0,4013.0,2393.0,2024.0,11459010.0,
797.0,4011.0,2402.0,2019.0,11459014.0,
798.0,4013.0,2413.0,2015.0,11459018.0,
796.0,4011.0,2418.0,2016.0,11459021.0,
794.0,4016.0,2424.0,2013.0,11459025.0,
796.0,4012.0,2427.0,2015.0,11459029.0,
797.0,4010.0,2428.0,2010.0,11459033.0,
797.0,4012.0,2429.0,2013.0,11459037.0,
797.0,4010.0,2428.0,2008.0,11459041.0,
796.0,4013.0,2424.0,2008.0,11459045.0,
796.0,4009.0,2422.0,2007.0,11459048.0,
797.0,4009.0,2420.0,2003.0,11459052.0,
797.0,4010.0,2412.0,2005.0,11459056.0,
796.0,4013.0,2409.0,2005.0,11459060.0,
796.0,4011.0,2400.0,1998.0,11459064.0,
795.0,4013.0,2393.0,2001.0,11459068.0,
797.0,4011.0,2385.0,1995.0,11459072.0,
797.0,4013.0,2375.0,1995.0,11459076.0,
796.0,4010.0,2365.0,1993.0,11459079.0,
797.0,4012.0,2353.0,1993.0,11459083.0,
796.0,4012.0,2337.0,1992.0,11459087.0,
796.0,4011.0,2321.0,1992.0,11459091.0,
798.0,4013.0,2303.0,1992.0,11459095.0,
796.0,4011.0,2285.0,1993.0,11459099.0,
796.0,4014.0,2264.0,1998.0,11459103.0,
796.0,4011.0,2238.0,1992.0,11459106.0,
796.0,4012.0,2215.0,1996.0,11459110.0,
796.0,4010.0,2184.0,1995.0,11459114.0,
797.0,4014.0,2158.0,1995.0,11459118.0,
797.0,4010.0,2127.0,1994.0,11459122.0,
797.0,4014.0,2099.0,1995.0,11459126.0,
797.0,4008.0,2067.0,1991.0,11459130.0,
797.0,4013.0,2034.0,1996.0,11459133.0,
797.0,4010.0,2004.0,1990.0,11459137.0,
797.0,4013.0,1971.0,1992.0,11459141.0,
796.0,4013.0,1939.0,1989.0,11459145.0,
797.0,4012.0,1911.0,1991.0,11459149.0,
797.0,4010.0,1884.0,1989.0,11459153.0,
797.0,4014.0,1856.0,1992.0,11459157.0,
798.0,4011.0,1832.0,1989.0,11459161.0,
797.0,4013.0,1804.0,1990.0,11459165.0,
797.0,4012.0,1784.0,1982.0,11459168.0,
799.0,4010.0,1759.0,1987.0,11459172.0,
798.0,4012.0,1741.0,1990.0,11459176.0,
798.0,4012.0,1718.0,1983.0,11459180.0,
797.0,4015.0,1699.0,1982.0,11459184.0,
796.0,4010.0,1681.0,1978.0,11459188.0,
797.0,4013.0,1664.0,1974.0,11459192.0,
798.0,4010.0,1647.0,1970.0,11459196.0,
797.0,4012.0,1632.0,1966.0,11459200.0,
796.0,4010.0,1621.0,1963.0,11459203.0,
796.0,4010.0,1610.0,1957.0,11459207.0,
797.0,4012.0,1601.0,1958.0,11459211.0,
798.0,4013.0,1591.0,1953.0,11459215.0,
796.0,4010.0,1586.0,1950.0,11459219.0,
797.0,4014.0,1578.0,1948.0,11459223.0,
796.0,4011.0,1574.0,1943.0,11459227.0,
797.0,4014.0,1570.0,1941.0,11459230.0,
797.0,4011.0,1567.0,1933.0,11459234.0,
798.0,4013.0,1566.0,1936.0,11459238.0,
798.0,4013.0,1566.0,1933.0,11459242.0,
797.0,4011.0,1568.0,1930.0,11459246.0,
797.0,4012.0,1568.0,1931.0,11459250.0,
796.0,4011.0,1573.0,1928.0,11459254.0,
798.0,4013.0,1574.0,1929.0,11459257.0,
797.0,4011.0,1579.0,1924.0,11459261.0,
796.0,4010.0,1584.0,1922.0,11459265.0,
796.0,4010.0,1592.0,1921.0,11459269.0,
797.0,4013.0,1598.0,1921.0,11459273.0,
797.0,4010.0,1606.0,1917.0,11459277.0,
796.0,4013.0,1611.0,1916.0,11459281.0,
796.0,4010.0,1617.0,1913.0,11459285.0,
796.0,4012.0,1625.0,1913.0,11459288.0,
797.0,4011.0,1633.0,1912.0,11459292.0,
798.0,4010.0,1641.0,1914.0,11459296.0,
797.0,4012.0,1648.0,1914.0,11459300.0,
796.0,4012.0,1655.0,1911.0,11459304.0,
795.0,4013.0,1664.0,1912.0,11459308.0,
796.0,4010.0,1673.0,1910.0,11459312.0,
798.0,4013.0,1681.0,1911.0,11459315.0,
796.0,4013.0,1686.0,1910.0,11459319.0,
796.0,4012.0,1692.0,1908.0,11459323.0,
795.0,4013.0,1694.0,1910.0,11459327.0,
796.0,4011.0,1698.0,1906.0,11459331.0,
796.0,4012.0,1702.0,1905.0,11459335.0,
796.0,4010.0,1706.0,1900.0,11459339.0,
795.0,4013.0,1707.0,1903.0,11459342.0,
793.0,4012.0,1709.0,1903.0,11459346.0,
795.0,4014.0,1709.0,1906.0,11459350.0,
796.0,4011.0,1710.0,1908.0,11459354.0,
796.0,4012.0,1711.0,1914.0,11459358.0,
795.0,4011.0,1714.0,1918.0,11459362.0,
794.0,4012.0,1715.0,1926.0,11459366.0,
794.0,4007.0,1724.0,1936.0,11459369.0,
794.0,4013.0,1732.0,1942.0,11459373.0,
794.0,4010.0,1750.0,1950.0,11459377.0,
794.0,4010.0,1768.0,1960.0,11459381.0,
793.0,4015.0,1793.0,1973.0,11459385.0,
793.0,4009.0,1824.0,1985.0,11459389.0,
793.0,4013.0,1864.0,1999.0,11459393.0,
794.0,4010.0,1919.0,2011.0,11459397.0,
793.0,4012.0,1980.0,2028.0,11459401.0,
793.0,4010.0,2053.0,2040.0,11459404.0,
792.0,4010.0,2142.0,2051.0,11459408.0,
792.0,4011.0,2243.0,2069.0,11459412.0,
794.0,4013.0,2355.0,2082.0,11459416.0,
793.0,4011.0,2483.0,2094.0,11459420.0,
793.0,4011.0,2622.0,2101.0,11459424.0,
792.0,4014.0,2774.0,2113.0,11459428.0,
793.0,4010.0,2937.0,2120.0,11459432.0,
793.0,4014.0,3112.0,2131.0,11459436.0,
791.0,4011.0,3288.0,2139.0,11459439.0,
791.0,4011.0,3481.0,2149.0,11459443.0,
792.0,4011.0,3667.0,2153.0,11459447.0,
791.0,4012.0,3860.0,2163.0,11459451.0,
790.0,4009.0,3915.0,2167.0,11459455.0,
791.0,4012.0,3915.0,2172.0,11459459.0,
792.0,4012.0,3915.0,2176.0,11459463.0,
790.0,4013.0,3914.0,2181.0,11459467.0,
790.0,4010.0,3915.0,2180.0,11459471.0,
790.0,4013.0,3915.0,2183.0,11459474.0,
790.0,4012.0,3914.0,2187.0,11459478.0,
790.0,4013.0,3915.0,2187.0,11459482.0,
789.0,4011.0,3915.0,2188.0,11459486.0,
790.0,4012.0,3915.0,2192.0,11459490.0,
789.0,4010.0,3915.0,2190.0,11459494.0,
790.0,4012.0,3916.0,2193.0,11459497.0,
789.0,4013.0,3915.0,2195.0,11459501.0,
788.0,4009.0,3915.0,2192.0,11459505.0,
788.0,4012.0,3916.0,2192.0,11459509.0,
789.0,4011.0,3916.0,2192.0,11459513.0,
789.0,4011.0,3915.0,2191.0,11459517.0,
789.0,4011.0,3915.0,2187.0,11459520.0,
786.0,4012.0,3915.0,2186.0,11459524.0,
787.0,4013.0,3915.0,2183.0,11459528.0,
787.0,4013.0,3915.0,2182.0,11459532.0,
788.0,4009.0,3916.0,2177.0,11459536.0,
787.0,4013.0,3915.0,2175.0,11459540.0,
787.0,4009.0,3916.0,2169.0,11459544.0,
785.0,4014.0,3915.0,2160.0,11459547.0,
786.0,4014.0,3916.0,2159.0,11459551.0,
786.0,4010.0,3915.0,2151.0,11459555.0,
786.0,4010.0,3916.0,2145.0,11459559.0,
785.0,4012.0,3916.0,2137.0,11459563.0,
784.0,4011.0,3915.0,2128.0,11459567.0,
785.0,4013.0,3915.0,2123.0,11459571.0,
786.0,4010.0,3915.0,2120.0,11459575.0,
785.0,4013.0,3916.0,2117.0,11459578.0,
784.0,4012.0,3915.0,2110.0,11459582.0,
783.0,4010.0,3914.0,2102.0,11459586.0,
784.0,4012.0,3916.0,2103.0,11459590.0,
783.0,4011.0,3915.0,2098.0,11459594.0,
784.0,4013.0,3915.0,2091.0,11459598.0,
784.0,4012.0,3915.0,2086.0,11459602.0,
782.0,4012.0,3916.0,2080.0,11459605.0,
783.0,4011.0,3915.0,2074.0,11459609.0,
783.0,4012.0,3915.0,2071.0,11459613.0,
782.0,4010.0,3915.0,2064.0,11459617.0,
781.0,4012.0,3915.0,2061.0,11459621.0,
780.0,4010.0,3917.0,2054.0,11459625.0,
780.0,4013.0,3915.0,2053.0,11459629.0,
781.0,4010.0,3915.0,2045.0,11459632.0,
781.0,4011.0,3916.0,2039.0,11459636.0,
779.0,4011.0,3915.0,2037.0,11459640.0,
779.0,4012.0,3916.0,2037.0,11459644.0,
778.0,4010.0,3916.0,2032.0,11459648.0,
777.0,4012.0,3916.0,2029.0,11459652.0,
779.0,4011.0,3916.0,2026.0,11459656.0,
778.0,4012.0,3916.0,2026.0,11459659.0,
776.0,4011.0,3916.0,2023.0,11459663.0,
777.0,4012.0,3916.0,2025.0,11459667.0,
777.0,4010.0,3916.0,2026.0,11459671.0,
778.0,4013.0,3916.0,2023.0,11459675.0,
